Bin,Frequency,Cumulative %,Bin,Frequency,Cumulative %
12.10126289,1,1.23%,39.83420855,20,24.69%
16.7234205,0,1.23%,35.21205094,13,40.74%
21.34557811,7,9.88%,25.96773572,10,53.09%
25.96773572,10,22.22%,30.58989333,10,65.43%
30.58989333,10,34.57%,49.07852377,8,75.31%
35.21205094,13,50.62%,21.34557811,7,83.95%
39.83420855,20,75.31%,44.45636616,7,92.59%
44.45636616,7,83.95%,More,5,98.77%
49.07852377,8,93.83%,12.10126289,1,100.00%
More,5,100.00%,16.7234205,0,100.00%
